query,target,fident,alnlen,mismatch,gapopen,qstart,qend,tstart,tend,evalue,bits,alntmscore,query_uniprot,target_uniprot,query_gene,target_gene,target_organism
AF-A0A1E3M4U0-F1-model_v4,AF-P30038-3-F1-model_v6,0.27,503,290,13,567,1049,47,492,6.586e-29,1139,0.9183,A0A1E3M4U0,P30038,putA,ALDH4A1,9606
AF-V5VJC1-F1-model_v4,AF-Q8NHS2-F1-model_v6,0.253,406,294,5,1,402,6,406,5.265e-33,1309,0.9181,V5VJC1,Q8NHS2,tyrB,GOT1L1,9606
AF-A0A1E3M2W9-F1-model_v4,AF-P11498-2-F1-model_v6,0.413,423,242,4,1,418,36,457,2.864e-50,1938,0.9178,A0A1E3M2W9,P11498,,PC,9606
AF-A0A1E3M670-F1-model_v4,AF-Q0GE19-F1-model_v6,0.259,324,230,7,2,318,4,324,4.847e-14,701,0.9178,A0A1E3M670,Q0GE19,,SLC10A7,9606
AF-A0A1E3M6V5-F1-model_v4,AF-P31937-F1-model_v6,0.258,290,207,2,1,282,39,328,3.086e-27,1009,0.9176,A0A1E3M6V5,P31937,,HIBADH,9606
AF-V5VI29-F1-model_v4,AF-P00492-F1-model_v6,0.283,180,114,5,6,174,34,209,2.039e-17,628,0.9174,V5VI29,P00492,hpt,HPRT1,9606
AF-V5VCG5-F1-model_v4,AF-Q96G46-3-F1-model_v6,0.278,280,192,7,10,285,63,336,2.639e-21,771,0.9171,V5VCG5,Q96G46,dus,DUS3L,9606
AF-A0A1E3M2Q3-F1-model_v4,AF-Q13825-2-F1-model_v6,0.272,264,157,4,2,257,74,310,1.4610000000000002e-20,748,0.917,A0A1E3M2Q3,Q13825,,AUH,9606
AF-V5VH14-F1-model_v4,AF-Q8IVI9-2-F1-model_v6,0.1,120,104,1,81,200,77,192,1.224,83,0.9169,V5VH14,Q8IVI9,yibH_1,NOSTRIN,9606
AF-A0A5P1UNA0-F1-model_v4,AF-Q9NUT2-2-F1-model_v6,0.321,585,374,10,8,574,117,696,2.663e-44,1742,0.9165,A0A5P1UNA0,Q9NUT2,,ABCB8,9606
AF-A0A1E3M712-F1-model_v4,AF-P37058-2-F1-model_v6,0.276,181,125,4,10,187,48,225,8.568e-12,443,0.9165,A0A1E3M712,P37058,,HSD17B3,9606
AF-A0A1E3M747-F1-model_v4,AF-Q8NB37-F1-model_v6,0.188,228,167,6,2,229,9,218,8.914e-16,528,0.9164,A0A1E3M747,Q8NB37,,GATD1,9606
AF-A0A1E3MAB9-F1-model_v4,AF-O94788-F1-model_v6,0.257,428,303,11,33,454,96,514,4.92e-29,1128,0.9162,A0A1E3MAB9,O94788,,ALDH1A2,9606
AF-A0A1E3M6V3-F1-model_v4,AF-Q96DC8-2-F1-model_v6,0.215,167,126,3,108,272,2,165,4.158e-11,401,0.916,A0A1E3M6V3,Q96DC8,,ECHDC3,9606
AF-A0A059ZR53-F1-model_v4,AF-Q9UKU7-3-F1-model_v6,0.228,364,235,9,84,443,2,323,2.484e-18,811,0.916,A0A059ZR53,Q9UKU7,mmgC_3,ACAD8,9606
AF-A0A0H4UUZ5-F1-model_v4,AF-O94851-5-F1-model_v6,0.257,35,26,0,171,205,85,119,3.752,43,0.9158,A0A0H4UUZ5,O94851,,MICAL2,9606
AF-V5VB38-F1-model_v4,AF-Q5T1C6-F1-model_v6,0.24,104,75,2,39,141,131,231,5.326e-07,271,0.9158,V5VB38,Q5T1C6,,THEM4,9606
AF-A0A059ZDV9-F1-model_v4,AF-Q8IWW8-4-F1-model_v6,0.28,253,157,3,12,240,4,255,8.746e-15,610,0.9157,A0A059ZDV9,Q8IWW8,dhaT_1,ADHFE1,9606
AF-A0A1E3M736-F1-model_v4,AF-P51659-F1-model_v6,0.396,310,177,4,1,303,3,309,7.027e-38,1320,0.9157,A0A1E3M736,P51659,,HSD17B4,9606
AF-A0A098SH89-F1-model_v4,AF-P05091-F1-model_v6,0.272,496,335,15,1,483,35,517,2.039e-40,1437,0.9156,A0A098SH89,P05091,astD,ALDH2,9606
AF-A0A081H1H1-F1-model_v4,AF-O75648-F1-model_v6,0.373,396,213,9,1,371,3,388,1.1139999999999999e-45,1630,0.9155,A0A081H1H1,O75648,mnmA,TRMU,9606
AF-A0A5P1UNA0-F1-model_v4,AF-Q9NUT2-4-F1-model_v6,0.323,572,368,8,17,574,42,608,2.952e-44,1738,0.9154,A0A5P1UNA0,Q9NUT2,,ABCB8,9606
AF-A0A059ZR53-F1-model_v4,AF-P45954-F1-model_v6,0.238,432,270,15,33,460,55,431,1.414e-20,894,0.9151,A0A059ZR53,P45954,mmgC_3,ACADSB,9606
AF-A0A1E3M2C0-F1-model_v4,AF-Q96EM0-F1-model_v6,0.297,336,209,10,2,310,18,353,1.904e-33,1183,0.9149,A0A1E3M2C0,Q96EM0,,L3HYPDH,9606
AF-A0A1E3M254-F1-model_v4,AF-P0C7M7-F1-model_v6,0.311,562,345,14,3,539,34,578,2.3340000000000002e-55,1846,0.9147,A0A1E3M254,P0C7M7,,ACSM4,9606
AF-A0A1E3M450-F1-model_v4,AF-Q9NR19-2-F1-model_v6,0.283,635,352,21,4,538,51,682,1.253e-50,1693,0.9147,A0A1E3M450,Q9NR19,,ACSS2,9606
AF-A0A1E3M9B3-F1-model_v4,AF-Q5T0F9-3-F1-model_v6,0.185,54,40,1,22,71,217,270,0.7749,87,0.9145,A0A1E3M9B3,Q5T0F9,,CC2D1B,9606
AF-V5VBL6-F1-model_v4,AF-Q1L5Z9-F1-model_v6,0.2,95,73,1,82,176,196,287,0.08975,147,0.914,V5VBL6,Q1L5Z9,,LONRF2,9606
AF-A0A0H4UEB2-F1-model_v4,AF-Q8N5C6-F1-model_v6,0.327,58,39,0,72,129,704,761,0.08658,113,0.9138,A0A0H4UEB2,Q8N5C6,,SRBD1,9606
AF-A0A1E3M2M0-F1-model_v4,AF-Q5T1C6-F1-model_v6,0.145,103,86,2,27,127,133,235,4.998e-05,230,0.9138,A0A1E3M2M0,Q5T1C6,,THEM4,9606
AF-A0A1E3M758-F1-model_v4,AF-Q9UKU7-3-F1-model_v6,0.221,371,238,12,84,454,2,321,1.304e-16,732,0.9137,A0A1E3M758,Q9UKU7,,ACAD8,9606
AF-V5VEG3-F1-model_v4,AF-Q8N4T8-F1-model_v6,0.303,247,151,9,46,287,2,232,3.581e-20,683,0.9137,V5VEG3,Q8N4T8,ydaD,CBR4,9606
AF-V5VI41-F1-model_v4,AF-Q6PKH6-F1-model_v6,0.288,194,135,2,4,197,21,211,5.807e-18,611,0.9136,V5VI41,Q6PKH6,yciK,DHRS4L2,9606
AF-A0A0H4UYK2-F1-model_v4,AF-Q9NPJ3-2-F1-model_v6,0.179,106,84,2,27,129,12,117,4.143e-09,347,0.9135,A0A0H4UYK2,Q9NPJ3,,ACOT13,9606
AF-A0A1E3M762-F1-model_v4,AF-Q9H2A2-3-F1-model_v6,0.256,113,81,3,6,117,11,121,0.0002768,163,0.9135,A0A1E3M762,Q9H2A2,,ALDH8A1,9606
AF-V5VH14-F1-model_v4,AF-Q8IVI9-3-F1-model_v6,0.1,120,104,1,81,200,27,142,0.2706,104,0.9134,V5VH14,Q8IVI9,yibH_1,NOSTRIN,9606
AF-A0A0H4UUZ5-F1-model_v4,AF-O94851-F1-model_v6,0.257,35,26,0,171,205,85,119,3.531,43,0.9134,A0A0H4UUZ5,O94851,,MICAL2,9606
AF-A0A059ZR53-F1-model_v4,AF-Q9UKU7-F1-model_v6,0.215,427,277,12,29,451,36,408,2.8680000000000004e-20,901,0.9134,A0A059ZR53,Q9UKU7,mmgC_3,ACAD8,9606
AF-A0A1E3M3B0-F1-model_v4,AF-P05165-F1-model_v6,0.309,71,43,1,6,76,661,725,0.0001753,197,0.9133,A0A1E3M3B0,P05165,,PCCA,9606
AF-A0A1E3MD87-F1-model_v4,AF-Q6PKH6-2-F1-model_v6,0.214,247,162,5,1,246,26,241,5.4e-17,604,0.9132,A0A1E3MD87,Q6PKH6,,DHRS4L2,9606
AF-V5VAF5-F1-model_v4,AF-Q9H1D9-F1-model_v6,0.163,49,38,1,39,84,104,152,0.5939,73,0.913,V5VAF5,Q9H1D9,sdpR,POLR3F,9606
AF-A0A1A5UUC6-F1-model_v4,AF-Q9Y2V2-F1-model_v6,0.27,74,48,3,1,70,59,130,1.949e-05,253,0.913,A0A1A5UUC6,Q9Y2V2,cspG,CARHSP1,9606
AF-A0A0F5WZ42-F1-model_v4,AF-Q96EY9-F1-model_v6,0.257,175,89,6,6,141,173,345,5.901e-12,410,0.9129,A0A0F5WZ42,Q96EY9,tadA,ADAT3,9606
AF-A0A1E3M3B0-F1-model_v4,AF-P05165-2-F1-model_v6,0.309,71,43,1,6,76,635,699,0.0002506,192,0.9128,A0A1E3M3B0,P05165,,PCCA,9606
AF-A0A0H4UG33-F1-model_v4,AF-Q8N4T8-F1-model_v6,0.254,251,168,8,9,257,3,236,1.409e-16,574,0.9127,A0A0H4UG33,Q8N4T8,fabI,CBR4,9606
AF-A0A1E3MAB9-F1-model_v4,AF-O94788-4-F1-model_v6,0.255,431,298,13,34,454,1,418,7.284e-30,1157,0.9123,A0A1E3MAB9,O94788,,ALDH1A2,9606
AF-V5V980-F1-model_v4,AF-Q99726-F1-model_v6,0.298,308,187,5,18,297,72,378,1.697e-19,859,0.9122,V5V980,Q99726,czcD,SLC30A3,9606
AF-A0A1E3M5A4-F1-model_v4,AF-Q9Y394-2-F1-model_v6,0.211,260,188,5,3,246,1,259,2.825e-18,657,0.9121,A0A1E3M5A4,Q9Y394,,DHRS7,9606
AF-V5VHN7-F1-model_v4,AF-Q6PKH6-2-F1-model_v6,0.296,226,138,5,6,227,33,241,1.989e-18,629,0.9118,V5VHN7,Q6PKH6,fabG,DHRS4L2,9606
AF-A0A335ST51-F1-model_v4,AF-Q6PKH6-2-F1-model_v6,0.284,225,144,5,3,226,33,241,8.81e-17,581,0.9116,A0A335ST51,Q6PKH6,fabG,DHRS4L2,9606
AF-A0A1E3M9G6-F1-model_v4,AF-Q6PKH6-2-F1-model_v6,0.26,234,155,2,1,234,26,241,6.204e-19,684,0.9116,A0A1E3M9G6,Q6PKH6,,DHRS4L2,9606
AF-A0A1E3M466-F1-model_v4,AF-Q14689-2-F1-model_v6,0.205,516,365,19,1,479,326,833,5.09e-34,1155,0.9114,A0A1E3M466,Q14689,,DIP2A,9606
AF-A0A1E3MBQ6-F1-model_v4,AF-P55084-2-F1-model_v6,0.286,429,259,10,1,390,29,449,6.452e-39,1240,0.9113,A0A1E3MBQ6,P55084,,HADHB,9606
AF-A0A1E3M3W2-F1-model_v4,AF-Q8NFT2-F1-model_v6,0.212,33,26,0,1,33,30,62,1.202,57,0.9112,A0A1E3M3W2,Q8NFT2,,STEAP2,9606
AF-A0A1E3M466-F1-model_v4,AF-Q14689-5-F1-model_v6,0.188,610,445,19,1,570,263,862,4.946e-41,1396,0.911,A0A1E3M466,Q14689,,DIP2A,9606
AF-A0A0D5YG92-F1-model_v4,AF-Q6PKH6-F1-model_v6,0.237,194,131,5,2,189,29,211,3.217e-13,457,0.9109,A0A0D5YG92,Q6PKH6,,DHRS4L2,9606
AF-A0A0J8XRT0-F1-model_v4,AF-Q9UKU7-2-F1-model_v6,0.263,273,191,6,124,395,25,288,3.45e-17,758,0.9108,A0A0J8XRT0,Q9UKU7,acrC,ACAD8,9606
AF-A0A077GR36-F1-model_v4,AF-Q6PKH6-F1-model_v6,0.25,188,135,4,2,187,28,211,6.33e-15,543,0.9106,A0A077GR36,Q6PKH6,sadH_2,DHRS4L2,9606
AF-A0A1E3MAN5-F1-model_v4,AF-Q9NZB8-5-F1-model_v6,0.345,344,197,13,12,344,59,385,1.82e-30,1076,0.9106,A0A1E3MAN5,Q9NZB8,moaA,MOCS1,9606
AF-V5VH14-F1-model_v4,AF-Q8IVI9-F1-model_v6,0.1,119,103,1,82,200,106,220,3.855,66,0.9102,V5VH14,Q8IVI9,yibH_1,NOSTRIN,9606
AF-A0A1E3M3W2-F1-model_v4,AF-Q8NFT2-3-F1-model_v6,0.212,33,26,0,1,33,30,62,1.604,54,0.9102,A0A1E3M3W2,Q8NFT2,,STEAP2,9606
AF-A0A5P1UNA0-F1-model_v4,AF-Q9NUT2-F1-model_v6,0.325,580,368,10,13,574,139,713,3.445e-44,1717,0.91,A0A5P1UNA0,Q9NUT2,,ABCB8,9606
AF-A0A1E3M450-F1-model_v4,AF-Q9NUB1-2-F1-model_v6,0.257,574,376,17,11,545,93,655,8.16e-50,1667,0.91,A0A1E3M450,Q9NUB1,,ACSS1,9606
AF-A0A059ZR53-F1-model_v4,AF-Q9UKU7-2-F1-model_v6,0.224,298,185,11,157,451,27,281,4.264e-12,530,0.9098,A0A059ZR53,Q9UKU7,mmgC_3,ACAD8,9606
AF-V5V8A4-F1-model_v4,AF-P27695-F1-model_v6,0.285,273,179,10,8,273,55,318,1.0230000000000001e-25,875,0.9096,V5V8A4,P27695,xth,APEX1,9606
AF-V5VGD6-F1-model_v4,AF-O60869-F1-model_v6,0.178,56,45,1,3,57,77,132,0.2085,110,0.9095,V5VGD6,O60869,prtR_1,EDF1,9606
AF-A0A1E3M2S8-F1-model_v4,AF-Q13825-F1-model_v6,0.256,265,181,7,4,257,75,334,4.3840000000000006e-20,727,0.9093,A0A1E3M2S8,Q13825,,AUH,9606
AF-A0A1E3M3J5-F1-model_v4,AF-Q9UKU7-F1-model_v6,0.228,368,266,9,76,429,39,402,2.082e-21,943,0.9093,A0A1E3M3J5,Q9UKU7,,ACAD8,9606
AF-A0A1E3M2W9-F1-model_v4,AF-P05165-F1-model_v6,0.415,671,372,9,2,656,63,728,3.9770000000000004e-78,3022,0.9093,A0A1E3M2W9,P05165,,PCCA,9606
AF-A0A0H4UGL7-F1-model_v4,AF-Q8N4T8-F1-model_v6,0.304,256,153,7,8,260,1,234,9.716999999999999e-23,766,0.9092,A0A0H4UGL7,Q8N4T8,,CBR4,9606
AF-V5VI41-F1-model_v4,AF-Q9Y394-2-F1-model_v6,0.229,196,142,5,17,207,2,193,1.45e-13,465,0.9092,V5VI41,Q9Y394,yciK,DHRS7,9606
AF-A0A1E3M3W2-F1-model_v4,AF-Q8NFT2-2-F1-model_v6,0.212,33,26,0,1,33,30,62,0.9014,59,0.909,A0A1E3M3W2,Q8NFT2,,STEAP2,9606
AF-A0A1E3M8C8-F1-model_v4,AF-P24752-F1-model_v6,0.333,396,242,10,8,390,41,427,1.344e-38,1309,0.9089,A0A1E3M8C8,P24752,fadA,ACAT1,9606
AF-A0A1E3M5Q3-F1-model_v4,AF-Q9H7X0-3-F1-model_v6,0.172,87,69,2,94,178,30,115,7.408e-05,177,0.9088,A0A1E3M5Q3,Q9H7X0,,NAA60,9606
AF-A0A059ZR53-F1-model_v4,AF-P45954-2-F1-model_v6,0.25,372,231,14,93,460,2,329,1.813e-17,751,0.9086,A0A059ZR53,P45954,mmgC_3,ACADSB,9606
AF-A0A1E3M726-F1-model_v4,AF-Q9Y2G4-3-F1-model_v6,0.214,70,55,0,178,247,190,259,0.03485,131,0.9085,A0A1E3M726,Q9Y2G4,,ANKRD6,9606
AF-A0A1E3MAB9-F1-model_v4,AF-O94788-3-F1-model_v6,0.248,451,321,12,13,454,52,493,8.955000000000001e-30,1154,0.9084,A0A1E3MAB9,O94788,,ALDH1A2,9606
AF-A0A1E3M8C8-F1-model_v4,AF-Q9BWD1-2-F1-model_v6,0.335,414,247,9,1,390,17,426,2.524e-41,1414,0.9082,A0A1E3M8C8,Q9BWD1,fadA,ACAT2,9606
AF-A0A1E3M726-F1-model_v4,AF-Q9Y2G4-F1-model_v6,0.214,70,55,0,178,247,190,259,0.07191,121,0.9079,A0A1E3M726,Q9Y2G4,,ANKRD6,9606
AF-V5VGV3-F1-model_v4,AF-Q16775-3-F1-model_v6,0.213,122,72,4,2,122,49,147,2.516e-05,196,0.9078,V5VGV3,Q16775,,HAGH,9606
AF-A0A1E3M670-F1-model_v4,AF-Q0GE19-1-F1-model_v6,0.254,326,229,7,2,318,4,324,5.761e-14,691,0.9077,A0A1E3M670,Q0GE19,,SLC10A7,9606
AF-A0A0D8EAG8-F1-model_v4,AF-O95571-F1-model_v6,0.269,278,155,13,2,275,21,254,2.624e-24,804,0.9077,A0A0D8EAG8,O95571,,ETHE1,9606
AF-A0A1E3M5T3-F1-model_v4,AF-Q96MZ0-2-F1-model_v6,0.277,83,58,1,1,83,42,122,0.000205,230,0.9076,A0A1E3M5T3,Q96MZ0,,GDAP1L1,9606
AF-A0A1E3MAV2-F1-model_v4,AF-P37058-2-F1-model_v6,0.177,180,134,4,19,186,48,225,1.967e-11,382,0.9075,A0A1E3MAV2,P37058,dhbA,HSD17B3,9606
AF-A0A7U4Z2G0-F1-model_v4,AF-Q9H2A2-3-F1-model_v6,0.256,113,81,3,5,116,11,121,0.0005076,156,0.9075,A0A7U4Z2G0,Q9H2A2,,ALDH8A1,9606
AF-A0A1E3M700-F1-model_v4,AF-P86397-F1-model_v6,0.223,139,96,5,15,153,38,164,2.202e-09,365,0.9074,A0A1E3M700,P86397,,HTD2,9606
AF-A0A1E3M5A4-F1-model_v4,AF-Q9Y394-F1-model_v6,0.209,262,190,5,1,246,49,309,6.057e-18,643,0.9072,A0A1E3M5A4,Q9Y394,,DHRS7,9606
AF-V5VGD1-F1-model_v4,AF-Q9Y2V2-F1-model_v6,0.277,72,46,3,2,69,61,130,1.866e-05,251,0.9072,V5VGD1,Q9Y2V2,cspV,CARHSP1,9606
AF-A0A1E3M8J4-F1-model_v4,AF-P45954-2-F1-model_v6,0.241,344,229,11,171,509,2,318,1.367e-12,616,0.9072,A0A1E3M8J4,P45954,,ACADSB,9606
AF-A0A1E3MA37-F1-model_v4,AF-Q96FN9-F1-model_v6,0.218,160,107,6,2,145,11,168,2.596e-11,398,0.9071,A0A1E3MA37,Q96FN9,dtd,DTD2,9606
AF-A0A0J8XRT0-F1-model_v4,AF-P45954-2-F1-model_v6,0.311,321,209,4,82,396,16,330,1.7249999999999999e-22,1002,0.907,A0A0J8XRT0,P45954,acrC,ACADSB,9606
AF-A0A1E3M8A2-F1-model_v4,AF-Q8NB78-F1-model_v6,0.355,45,27,1,369,411,374,418,0.2351,77,0.9065,A0A1E3M8A2,Q8NB78,fadH,KDM1B,9606
AF-A0A1E3M9N3-F1-model_v4,AF-Q8N4T8-F1-model_v6,0.254,224,155,5,14,231,1,218,5.61e-16,580,0.9064,A0A1E3M9N3,Q8N4T8,,CBR4,9606
AF-A0A081H5Y7-F1-model_v4,AF-Q9BX10-3-F1-model_v6,0.202,217,158,6,189,396,22,232,1.994e-16,581,0.9064,A0A081H5Y7,Q9BX10,tufB,GTPBP2,9606
AF-A0A1E3MAQ4-F1-model_v4,AF-Q15758-3-F1-model_v6,0.264,261,180,6,150,403,2,257,1.694e-07,370,0.9062,A0A1E3MAQ4,Q15758,,SLC1A5,9606
AF-A0A7U4X8G2-F1-model_v4,AF-Q8N4T8-F1-model_v6,0.203,246,179,6,7,248,1,233,8.884e-17,568,0.9061,A0A7U4X8G2,Q8N4T8,,CBR4,9606
AF-A0A1E3M4U0-F1-model_v4,AF-O94788-4-F1-model_v6,0.293,429,264,14,640,1049,1,409,4.453e-29,1109,0.906,A0A1E3M4U0,O94788,putA,ALDH1A2,9606
AF-A0A1E3M8J4-F1-model_v4,AF-Q9UKU7-3-F1-model_v6,0.193,351,247,13,162,505,2,323,2.4e-12,603,0.9059,A0A1E3M8J4,Q9UKU7,,ACAD8,9606
AF-A0A1E3M726-F1-model_v4,AF-Q9Y2G4-1-F1-model_v6,0.214,70,55,0,178,247,190,259,0.085,118,0.9059,A0A1E3M726,Q9Y2G4,,ANKRD6,9606
AF-A0A1E3M7T2-F1-model_v4,AF-P05091-F1-model_v6,0.236,507,355,18,18,515,28,511,1.898e-39,1330,0.9058,A0A1E3M7T2,P05091,,ALDH2,9606
AF-A0A1E3M712-F1-model_v4,AF-P51659-3-F1-model_v6,0.218,211,148,5,41,251,31,224,5.735e-12,419,0.9057,A0A1E3M712,P51659,,HSD17B4,9606
AF-A0A1E3M2P8-F1-model_v4,AF-Q9Y2Z2-4-F1-model_v6,0.294,34,24,0,8,41,36,69,6.671,42,0.9057,A0A1E3M2P8,Q9Y2Z2,,MTO1,9606
AF-A0A1E3M1N8-F1-model_v4,AF-Q8N4T8-F1-model_v6,0.276,242,156,8,224,457,1,231,1.694e-17,606,0.9054,A0A1E3M1N8,Q8N4T8,,CBR4,9606
AF-A0A0D7TSQ3-F1-model_v4,AF-Q6PKH6-F1-model_v6,0.247,182,131,3,1,179,33,211,6.447e-12,428,0.9051,A0A0D7TSQ3,Q6PKH6,ydfG,DHRS4L2,9606
AF-A0A1E3M758-F1-model_v4,AF-P45954-2-F1-model_v6,0.231,380,229,15,93,466,2,324,3.365e-17,741,0.905,A0A1E3M758,P45954,,ACADSB,9606
AF-A0A1E3MB60-F1-model_v4,AF-P50990-2-F1-model_v6,0.142,35,30,0,216,250,261,295,8.939,38,0.9048,A0A1E3MB60,P50990,fdhD,CCT8,9606
AF-A0A1E3M2J2-F1-model_v4,AF-P11498-2-F1-model_v6,0.396,446,248,9,1,434,36,472,1.275e-47,1808,0.9048,A0A1E3M2J2,P11498,,PC,9606
AF-A0A059ZDV9-F1-model_v4,AF-Q8IWW8-2-F1-model_v6,0.254,420,267,9,12,393,4,415,3.184e-26,1103,0.9048,A0A059ZDV9,Q8IWW8,dhaT_1,ADHFE1,9606
AF-V5VEG3-F1-model_v4,AF-Q6PKH6-F1-model_v6,0.234,192,142,3,35,224,21,209,2.431e-14,488,0.9047,V5VEG3,Q6PKH6,ydaD,DHRS4L2,9606
AF-V5VAZ8-F1-model_v4,AF-Q9UKU7-F1-model_v6,0.229,436,274,14,29,460,36,413,1.373e-20,928,0.9047,V5VAZ8,Q9UKU7,,ACAD8,9606
AF-A0A059ZMA0-F1-model_v4,AF-P55265-4-F1-model_v6,0.145,62,52,1,6,66,179,240,0.2631,97,0.9047,A0A059ZMA0,P55265,nsrR,ADAR,9606
AF-X2FEM3-F1-model_v4,AF-P24666-F1-model_v6,0.296,152,93,5,3,141,6,156,1.303e-11,397,0.9047,X2FEM3,P24666,wzb,ACP1,9606
AF-A0A1E3M2W9-F1-model_v4,AF-P05165-2-F1-model_v6,0.414,671,372,10,2,656,37,702,1.3620000000000001e-78,3025,0.9046,A0A1E3M2W9,P05165,,PCCA,9606
AF-A0A1E3M2T8-F1-model_v4,AF-Q96DC8-F1-model_v6,0.239,267,191,6,1,263,43,301,3.504e-20,730,0.9044,A0A1E3M2T8,Q96DC8,,ECHDC3,9606
AF-V5VH83-F1-model_v4,AF-O94788-4-F1-model_v6,0.276,437,287,13,37,460,1,421,1.727e-31,1177,0.9044,V5VH83,O94788,calB_1,ALDH1A2,9606
AF-V5VH83-F1-model_v4,AF-Q9H2A2-2-F1-model_v6,0.198,449,294,10,14,454,41,431,2.371e-23,848,0.904,V5VH83,Q9H2A2,calB_1,ALDH8A1,9606
AF-A0A0H4UUZ5-F1-model_v4,AF-Q7RTP6-5-F1-model_v6,0.314,35,24,0,171,205,85,119,0.9864,55,0.9039,A0A0H4UUZ5,Q7RTP6,,MICAL3,9606
AF-A0A0D5YKQ7-F1-model_v4,AF-P28330-F1-model_v6,0.255,411,286,11,2,399,24,427,2.259e-27,1211,0.9037,A0A0D5YKQ7,P28330,gcdH,ACADL,9606
AF-A0A1E3M3J5-F1-model_v4,AF-P45954-F1-model_v6,0.274,372,244,9,76,429,55,418,9.221e-23,980,0.9037,A0A1E3M3J5,P45954,,ACADSB,9606
AF-A0A1E3M4U0-F1-model_v4,AF-Q9H2A2-F1-model_v6,0.243,496,334,12,579,1052,5,481,1.456e-32,1277,0.9037,A0A1E3M4U0,Q9H2A2,putA,ALDH8A1,9606
AF-A0A0H5F8L1-F1-model_v4,AF-Q6PKH6-2-F1-model_v6,0.211,241,167,5,5,242,21,241,3.121e-16,582,0.9036,A0A0H5F8L1,Q6PKH6,,DHRS4L2,9606
AF-A0A059ZDV9-F1-model_v4,AF-Q8IWW8-F1-model_v6,0.251,429,274,10,3,393,44,463,1.773e-26,1118,0.9036,A0A059ZDV9,Q8IWW8,dhaT_1,ADHFE1,9606
AF-A0A0B9W6E2-F1-model_v4,AF-Q9UG56-2-F1-model_v6,0.277,303,183,8,13,281,74,374,1.2240000000000001e-26,889,0.9036,A0A0B9W6E2,Q9UG56,psd,PISD,9606
AF-A0A059ZJE9-F1-model_v4,AF-Q9P2T1-3-F1-model_v6,0.248,474,181,12,1,464,1,309,3.9820000000000005e-30,975,0.9035,A0A059ZJE9,Q9P2T1,guaB,GMPR2,9606
AF-V5VB88-F1-model_v4,AF-Q5I0G3-2-F1-model_v6,0.238,339,236,8,2,325,129,460,1.8709999999999998e-23,888,0.9034,V5VB88,Q5I0G3,mdh,MDH1B,9606
AF-V5VCG5-F1-model_v4,AF-Q96G46-F1-model_v6,0.276,286,195,8,6,285,299,578,7.651e-21,748,0.9034,V5VCG5,Q96G46,dus,DUS3L,9606
AF-V5V9W2-F1-model_v4,AF-P45954-F1-model_v6,0.214,428,270,17,33,452,55,424,5.3330000000000003e-20,900,0.9033,V5V9W2,P45954,mmgC_2,ACADSB,9606
AF-A0A0D5YDF7-F1-model_v4,AF-Q5T1C6-F1-model_v6,0.181,99,75,3,20,118,142,234,0.0001765,204,0.9033,A0A0D5YDF7,Q5T1C6,,THEM4,9606
AF-A0A1E3M6V5-F1-model_v4,AF-Q7RTP6-2-F1-model_v6,0.31,29,20,0,2,30,87,115,0.9749,57,0.9032,A0A1E3M6V5,Q7RTP6,,MICAL3,9606
AF-A0A1E3M450-F1-model_v4,AF-Q9NUB1-4-F1-model_v6,0.247,468,308,17,11,441,93,553,3.477e-36,1187,0.9032,A0A1E3M450,Q9NUB1,,ACSS1,9606
AF-V5V9W2-F1-model_v4,AF-Q9UKU7-3-F1-model_v6,0.233,364,233,10,85,444,2,323,3.693e-17,776,0.9031,V5V9W2,Q9UKU7,mmgC_2,ACAD8,9606
AF-A0A1E3MAN5-F1-model_v4,AF-Q9NZB8-7-F1-model_v6,0.326,303,175,12,41,330,1,287,4.696e-23,782,0.9031,A0A1E3MAN5,Q9NZB8,moaA,MOCS1,9606
AF-A0A059ZMA0-F1-model_v4,AF-P55265-2-F1-model_v6,0.142,63,53,1,6,67,136,198,0.2061,100,0.903,A0A059ZMA0,P55265,nsrR,ADAR,9606
AF-A0A081GUF4-F1-model_v4,AF-Q9UKS6-F1-model_v6,0.186,75,57,2,94,167,145,216,0.9135,95,0.9029,A0A081GUF4,Q9UKS6,mdtA,PACSIN3,9606
AF-A0A1E3M2P8-F1-model_v4,AF-Q9Y2Z2-F1-model_v6,0.294,34,24,0,8,41,36,69,6.671,42,0.9029,A0A1E3M2P8,Q9Y2Z2,,MTO1,9606
AF-A0A1E3M760-F1-model_v4,AF-O60869-2-F1-model_v6,0.2,55,43,1,28,82,77,130,0.3033,105,0.9027,A0A1E3M760,O60869,,EDF1,9606
AF-A0A0D7T2Y0-F1-model_v4,AF-Q96NN9-F1-model_v6,0.253,422,283,16,1,402,192,601,9.979e-32,1116,0.9027,A0A0D7T2Y0,Q96NN9,,AIFM3,9606
AF-A0A1E3M758-F1-model_v4,AF-Q9UKU7-F1-model_v6,0.212,437,279,15,29,464,36,408,6.512e-20,875,0.9026,A0A1E3M758,Q9UKU7,,ACAD8,9606
AF-A0A1E3MAQ4-F1-model_v4,AF-Q15758-2-F1-model_v6,0.27,262,177,7,150,403,28,283,1.431e-07,371,0.9026,A0A1E3MAQ4,Q15758,,SLC1A5,9606
